Cluster,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age
0,1.0,0.49145299145299143,2.1153846153846154,23.256410256410255,0.3034188034188034,0.3162393162393162,1.1367521367521367,3.0598290598290596,53.73076923076923
1,1.0,0.5137795275590551,8.704724409448819,20.931102362204726,1.0,0.3799212598425197,1.1732283464566928,3.029527559055118,55.63779527559055
2,1.0,0.4812206572769953,8.673708920187794,20.814553990610328,0.0,1.0,1.2065727699530517,2.943661971830986,56.05868544600939
3,1.0,0.50480109739369,8.786008230452675,21.131687242798353,0.0,0.0,1.2400548696844993,3.063100137174211,56.51303155006859
4,0.0,0.6116504854368932,8.029126213592233,20.601941747572816,0.34951456310679613,0.4174757281553398,1.145631067961165,3.0679611650485437,53.04854368932039
